common.name,scientific.name,state,query.volume.state,encounter.state.normalized
white-rumped shama,Copsychus malabaricus,Wyoming,0,0
white-tailed hawk,Geranoaetus albicaudatus,Alabama,0,0
white-tailed hawk,Geranoaetus albicaudatus,Alaska,0,0
white-tailed hawk,Geranoaetus albicaudatus,Arizona,0,0
white-tailed hawk,Geranoaetus albicaudatus,Arkansas,0,0
white-tailed hawk,Geranoaetus albicaudatus,California,38,0
white-tailed hawk,Geranoaetus albicaudatus,Colorado,0,0
white-tailed hawk,Geranoaetus albicaudatus,Connecticut,0,0
white-tailed hawk,Geranoaetus albicaudatus,Delaware,0,0
white-tailed hawk,Geranoaetus albicaudatus,District of Columbia,0,0
white-tailed hawk,Geranoaetus albicaudatus,Florida,0,0
white-tailed hawk,Geranoaetus albicaudatus,Georgia,0,0
white-tailed hawk,Geranoaetus albicaudatus,Hawaii,0,0
white-tailed hawk,Geranoaetus albicaudatus,Idaho,0,0
white-tailed hawk,Geranoaetus albicaudatus,Illinois,0,0
white-tailed hawk,Geranoaetus albicaudatus,Indiana,0,0
white-tailed hawk,Geranoaetus albicaudatus,Iowa,0,0
white-tailed hawk,Geranoaetus albicaudatus,Kansas,0,0
white-tailed hawk,Geranoaetus albicaudatus,Kentucky,0,0
white-tailed hawk,Geranoaetus albicaudatus,Louisiana,0,2.430935877
white-tailed hawk,Geranoaetus albicaudatus,Maine,0,0
white-tailed hawk,Geranoaetus albicaudatus,Maryland,0,0
white-tailed hawk,Geranoaetus albicaudatus,Massachusetts,0,0
white-tailed hawk,Geranoaetus albicaudatus,Michigan,0,0
white-tailed hawk,Geranoaetus albicaudatus,Minnesota,0,0
white-tailed hawk,Geranoaetus albicaudatus,Mississippi,0,0
white-tailed hawk,Geranoaetus albicaudatus,Missouri,0,0
white-tailed hawk,Geranoaetus albicaudatus,Montana,0,0
white-tailed hawk,Geranoaetus albicaudatus,Nebraska,0,0
white-tailed hawk,Geranoaetus albicaudatus,Nevada,0,0
white-tailed hawk,Geranoaetus albicaudatus,New Hampshire,0,0
white-tailed hawk,Geranoaetus albicaudatus,New Jersey,0,0
white-tailed hawk,Geranoaetus albicaudatus,New Mexico,0,0.029596951
white-tailed hawk,Geranoaetus albicaudatus,New York,0,0
white-tailed hawk,Geranoaetus albicaudatus,North Carolina,0,0
white-tailed hawk,Geranoaetus albicaudatus,North Dakota,0,0
white-tailed hawk,Geranoaetus albicaudatus,Ohio,0,0
white-tailed hawk,Geranoaetus albicaudatus,Oklahoma,0,0
white-tailed hawk,Geranoaetus albicaudatus,Oregon,0,0
white-tailed hawk,Geranoaetus albicaudatus,Pennsylvania,0,0
white-tailed hawk,Geranoaetus albicaudatus,Rhode Island,0,0
white-tailed hawk,Geranoaetus albicaudatus,South Carolina,0,0
white-tailed hawk,Geranoaetus albicaudatus,South Dakota,0,0
white-tailed hawk,Geranoaetus albicaudatus,Tennessee,0,0
white-tailed hawk,Geranoaetus albicaudatus,Texas,100,100
white-tailed hawk,Geranoaetus albicaudatus,Utah,0,0
white-tailed hawk,Geranoaetus albicaudatus,Vermont,0,0
white-tailed hawk,Geranoaetus albicaudatus,Virginia,0,0
white-tailed hawk,Geranoaetus albicaudatus,Washington,0,0
white-tailed hawk,Geranoaetus albicaudatus,West Virginia,0,0
white-tailed hawk,Geranoaetus albicaudatus,Wisconsin,0,0
white-tailed hawk,Geranoaetus albicaudatus,Wyoming,0,0
white-tailed kite,Elanus leucurus,Alabama,0,0
white-tailed kite,Elanus leucurus,Alaska,0,0
white-tailed kite,Elanus leucurus,Arizona,0,3.877989491
white-tailed kite,Elanus leucurus,Arkansas,0,0.027653687
white-tailed kite,Elanus leucurus,California,100,100
white-tailed kite,Elanus leucurus,Colorado,0,0
white-tailed kite,Elanus leucurus,Connecticut,0,0.883987397
white-tailed kite,Elanus leucurus,Delaware,0,0
white-tailed kite,Elanus leucurus,District of Columbia,0,0
white-tailed kite,Elanus leucurus,Florida,15,1.687403774
white-tailed kite,Elanus leucurus,Georgia,0,0
white-tailed kite,Elanus leucurus,Hawaii,0,0
white-tailed kite,Elanus leucurus,Idaho,0,0
white-tailed kite,Elanus leucurus,Illinois,0,0.003899273
white-tailed kite,Elanus leucurus,Indiana,4,0
white-tailed kite,Elanus leucurus,Iowa,0,0.022310837
white-tailed kite,Elanus leucurus,Kansas,0,0.014417134
white-tailed kite,Elanus leucurus,Kentucky,0,0
white-tailed kite,Elanus leucurus,Louisiana,0,6.239288968
white-tailed kite,Elanus leucurus,Maine,0,0
white-tailed kite,Elanus leucurus,Maryland,0,0
white-tailed kite,Elanus leucurus,Massachusetts,0,0
white-tailed kite,Elanus leucurus,Michigan,0,0
white-tailed kite,Elanus leucurus,Minnesota,0,0
white-tailed kite,Elanus leucurus,Mississippi,0,0.043525296
white-tailed kite,Elanus leucurus,Missouri,0,0.020002641
white-tailed kite,Elanus leucurus,Montana,0,0
white-tailed kite,Elanus leucurus,Nebraska,0,0.149883394
white-tailed kite,Elanus leucurus,Nevada,0,1.9345217
white-tailed kite,Elanus leucurus,New Hampshire,0,0
white-tailed kite,Elanus leucurus,New Jersey,0,0.158706233
white-tailed kite,Elanus leucurus,New Mexico,0,1.291390209
